Motif ID	Module ID	P-Value	Bound Genes
FZ_KAN1_01	3	0.0357263458106	AT1G71520;AT2G05915;AT2G22770;AT4G06746;AT4G13395;AT4G14230;AT5G41080;AT5G58390
FZ_CCA1_01	5	0.0468352549549	AT2G15090;AT2G28720;AT2G46790;AT3G04550;AT3G10020;AT3G59210;AT4G04330;AT4G14270;AT4G18270;AT4G25480;AT4G31050;AT5G64860
FZ_RVE1_01	5	0.0206218314747	AT2G15090;AT2G28720;AT2G46790;AT3G04550;AT3G10020;AT3G59210;AT4G04330;AT4G14270;AT4G18270;AT4G25480;AT4G26760;AT4G31050;AT5G64860
M0150_1.02	7	0.043341191921	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0151_1.02	7	0.0148276821924	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0153_1.02	7	0.0381876308938	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0157_1.02	7	0.046130468985	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0158_1.02	7	0.0231182703773	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0162_1.02	7	0.0467704391513	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G21430;AT5G37260;AT5G43630;AT5G64940
M0165_1.02	7	0.0106470507319	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0167_1.02	7	0.0185833044415	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0252_1.02	7	0.019332497971	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0255_1.02	7	0.0302428626381	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0256_1.02	7	0.0049216534253	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0257_1.02	7	0.00094772550922	AT1G01060;AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0258_1.02	7	0.000194787424511	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0261_1.02	7	0.000309939343169	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0329_1.02	7	0.00631333501207	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0359_1.02	7	0.00960669256402	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2342_1.02	7	0.000862953268432	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2343_1.02	7	0.00739568998377	AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2344_1.02	7	0.00479134091832	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2345_1.02	7	0.00648696946693	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2354_1.02	7	0.00143839708417	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2363_1.02	7	0.000135940292958	AT1G01060;AT1G14150;AT1G19150;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2862_1.02	7	0.00550696210203	AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
