Motif ID	1	2	3	4	5	6	7	8
FZ_AHL12_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL12_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL12_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL20_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL20_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL20_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL25_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AHL25_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ANAC46_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ANAC55_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ANAC55_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ANAC58_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR11_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR11_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR11_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR14_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR14_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ARR14_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AT1G77200_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AT4G35610_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_AT5G28300_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ATERF1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ATERF1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ATHB12_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ATHB51_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_BZIP60_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_BZIP60_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_CCA1_01	1.0	1.0	1.0	1.0	0.454802537803	1.0	1.0	1.0
FZ_CCA1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DAG2_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.873493903311
FZ_DDF1_01	1.0	1.0	1.0	1.0	0.0107068353726	1.0	1.0	1.0
FZ_DEAR3_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DEAR3_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DEAR4_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DEAR4_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DOF5.7_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DOF5.7_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DREB2C_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_DREB2C_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ERF1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ERF1_01A	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ETT_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ETT_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_GATA12_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_GLK1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_GLK1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_HSFB2A_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_HSFB2A_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_HSFC1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_HSFC1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ICU4_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_KAN1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_KAN4_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_KAN4_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_LBD16_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB111_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB111_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB46_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB46_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB52_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB52_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB55_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB55_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYB59_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYC2_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYC3_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_MYC4_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ORA47_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ORA47_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_PIF3_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_PIF4_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_PIF5_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.3_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.3_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.3_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_REM1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_REM1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RVE1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RVE1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL7_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_STY1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_STY1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TCP15_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
