Motif ID	Module ID	P-Value	Bound Genes
FZ_DDF1_01	5	0.0107068353726	AT1G51090;AT1G62710;AT2G15970;AT3G55760;AT4G15450;AT4G30650;AT5G01520;AT5G52310;AT5G57660;AT5G66400
M0258_1.02	5	0.0456415741596	AT1G22370;AT1G51140;AT1G56600;AT1G60190;AT1G62560;AT2G15970;AT2G43010;AT2G46790;AT3G21670;AT3G27210;AT3G55240;AT3G59210;AT4G14270;AT4G22880;AT4G25480;AT4G35783;AT5G01520;AT5G05270;AT5G06980;AT5G39520;AT5G49100;AT5G57660;AT5G59310;AT5G64170
M0261_1.02	5	0.0456415741596	AT1G11210;AT1G16850;AT1G20450;AT1G22370;AT1G51140;AT1G56600;AT1G60190;AT1G62560;AT2G15970;AT2G43010;AT2G46790;AT3G21670;AT3G27210;AT3G51240;AT3G55240;AT4G14270;AT4G18520;AT4G26760;AT4G35783;AT5G01520;AT5G05270;AT5G06980;AT5G39520;AT5G49100;AT5G57660;AT5G59310;AT5G64170
M0264_1.02	5	0.0456415741596	AT1G11210;AT1G20450;AT1G51140;AT1G56600;AT1G64890;AT2G15970;AT2G41190;AT2G43010;AT2G46790;AT3G19710;AT3G21670;AT3G27210;AT3G51240;AT3G55240;AT4G14270;AT5G01520;AT5G15500;AT5G39520;AT5G48850;AT5G49100;AT5G60100
M2343_1.02	5	0.0456415741596	AT1G11210;AT1G20450;AT1G51140;AT1G56600;AT1G60190;AT1G62560;AT1G62710;AT1G72160;AT2G15970;AT2G22840;AT2G43010;AT2G46790;AT3G21670;AT3G27210;AT3G55240;AT4G14270;AT4G26760;AT4G35783;AT5G01520;AT5G06980;AT5G39520;AT5G42800;AT5G49100;AT5G59310
M2353_1.02	5	0.0456415741596	AT1G20450;AT1G22370;AT1G51140;AT1G64890;AT1G72160;AT2G15970;AT2G43010;AT2G46790;AT3G19710;AT3G21670;AT3G27210;AT3G45780;AT3G51240;AT3G55240;AT4G14270;AT5G05270;AT5G39520;AT5G49100;AT5G64170
M2355_1.02	5	0.0456415741596	AT1G20450;AT1G51140;AT1G64890;AT1G72160;AT2G15970;AT2G22840;AT3G19710;AT3G21670;AT3G27210;AT3G51240;AT3G55240;AT5G39520;AT5G49100;AT5G54060
M2862_1.02	5	0.0456415741596	AT1G11210;AT1G22370;AT1G51140;AT1G56600;AT1G60190;AT1G62560;AT1G62710;AT1G72160;AT2G15970;AT2G20515;AT2G43010;AT2G46790;AT3G21670;AT3G27210;AT4G14270;AT4G22880;AT5G06980;AT5G39520;AT5G42800;AT5G54060
M0255_1.02	7	0.00141341907916	AT1G01060;AT1G14150;AT2G04039;AT2G21330;AT3G01060;AT3G02380;AT5G15950;AT5G37260;AT5G43630;AT5G58770;AT5G64940
M0256_1.02	7	0.000323711730654	AT1G01060;AT1G19150;AT1G23740;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0257_1.02	7	0.000814993821659	AT1G01060;AT1G19150;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0258_1.02	7	0.000323711730654	AT1G01060;AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
