Treatment,Botrytis,Drought,High Light,Pst,Long Day Senescence,Short Day Senescence
CATMA1a00010,0,0,0,1,0,1
CATMA1a00035,0,0,1,0,0,0
CATMA1a00040,1,0,0,0,0,0
CATMA1a00045,1,0,1,0,1,0
CATMA1a00050,1,0,1,0,1,1
CATMA1a00060,1,0,0,1,1,1
CATMA1a00070,0,0,0,0,1,0
CATMA1a00080,0,0,1,0,0,0
CATMA1a00090,1,0,0,0,0,0
CATMA1a00110,0,0,1,1,1,1
CATMA1a00130,1,0,0,0,0,0
CATMA1a00150,0,0,1,0,0,1
CATMA1a00160,1,0,0,1,1,0
CATMA1a00170,1,1,1,0,1,1
CATMA1a00180,1,0,1,0,0,1
CATMA1a00190,0,0,1,0,1,0
CATMA1a00210,0,0,0,1,1,1
CATMA1a00220,0,0,0,0,1,1
CATMA1a00230,0,0,1,0,1,0
CATMA1a00240,0,0,0,0,1,1
CATMA1a00250,1,1,0,0,0,1
CATMA1a00260,0,0,0,1,0,0
CATMA1a00275,1,1,1,0,0,0
CATMA1a00280,0,0,0,0,1,0
CATMA1a00300,0,0,0,0,1,0
CATMA1a00310,0,0,1,0,0,0
CATMA1a00320,1,1,1,1,0,0
CATMA1a00340,0,0,0,0,1,1
CATMA1a00350,1,1,0,0,1,1
CATMA1a00360,0,0,0,0,1,1
CATMA1a00380,0,0,1,1,1,0
CATMA1a00410,1,1,1,1,0,1
CATMA1a00420,1,1,0,1,1,0
CATMA1a00430,0,0,1,0,0,0
CATMA1a00440,1,0,0,0,1,0
CATMA1a00450,0,0,0,0,1,0
CATMA1a00460,1,0,1,0,1,1
CATMA1a00465,1,1,0,1,1,0
CATMA1a00470,0,0,1,0,1,1
CATMA1a00480,0,0,0,0,0,1
CATMA1a00490,1,0,0,1,0,0
CATMA1a00500,1,0,0,0,0,0
CATMA1a00520,1,0,0,1,1,1
CATMA1a00530,0,0,1,0,1,1
CATMA1a00560,0,1,0,0,1,0
CATMA1a00580,0,1,0,0,1,0
CATMA1a00590,1,0,0,1,1,1
CATMA1a00600,1,0,0,1,1,0
CATMA1a00610,0,0,0,0,1,1
CATMA1a00620,1,0,0,0,0,0
CATMA1a00650,1,0,0,0,0,0
CATMA1a00725,1,0,1,1,1,1
CATMA1a00730,1,0,0,0,1,0
CATMA1a00740,0,0,0,1,1,1
CATMA1a00750,1,1,0,0,0,0
CATMA1a00780,0,0,0,1,1,0
CATMA1a00820,1,0,1,0,1,1
CATMA1a00840,0,0,0,0,1,1
CATMA1a00850,0,0,0,0,1,1
CATMA1a00870,1,0,1,0,0,0
CATMA1a00880,1,0,0,0,0,0
CATMA1a00890,0,0,0,0,1,1
CATMA1a00900,0,0,0,1,0,0
CATMA1a00910,1,0,1,0,0,0
CATMA1a00920,1,0,0,0,1,1
CATMA1a00930,0,0,1,0,0,0
CATMA1a00950,1,1,1,0,0,1
CATMA1a00960,1,0,1,1,1,1
CATMA1a00980,1,0,1,0,0,0
CATMA1a00990,1,0,1,0,1,0
CATMA1a01030,0,0,1,0,0,0
CATMA1a01040,0,0,0,0,1,0
CATMA1a01080,0,0,0,0,1,1
CATMA1a01090,0,0,0,0,1,1
CATMA1a01100,1,0,0,1,0,0
CATMA1a01120,1,0,1,0,1,0
CATMA1a01130,0,0,1,0,1,0
CATMA1a01140,1,0,1,0,1,0
CATMA1a01160,1,0,0,1,1,1
CATMA1a01170,1,0,0,1,0,1
CATMA1a01180,1,0,0,0,1,1
CATMA1a01186,0,0,0,0,1,0
CATMA1a01200,1,0,0,1,1,0
CATMA1a01220,0,0,0,1,1,1
CATMA1a01250,1,0,0,0,1,1
CATMA1a01260,1,0,0,0,0,0
CATMA1a01290,1,0,1,0,1,1
CATMA1a01300,1,0,0,0,1,0
CATMA1a01310,1,0,1,0,0,1
CATMA1a01320,0,0,1,0,1,1
CATMA1a01330,0,0,0,0,1,1
CATMA1a01350,1,0,0,1,0,0
CATMA1a01360,1,0,0,0,0,0
CATMA1a01370,0,0,0,0,1,0
CATMA1a01380,1,1,1,0,1,0
CATMA1a01400,1,1,0,1,1,0
CATMA1a01410,1,0,0,0,0,1
CATMA1a01420,0,0,1,0,0,0
CATMA1a01450,0,0,0,0,1,0
CATMA1a01460,1,0,0,0,1,0
CATMA1a01480,0,0,0,0,0,1
CATMA1a01490,1,0,0,0,1,1
CATMA1a01520,0,0,1,0,1,0
CATMA1a01530,1,0,0,0,0,0
CATMA1a01535,1,1,0,0,0,0
CATMA1a01590,0,0,1,0,1,0
CATMA1a01600,0,0,1,0,0,0
CATMA1a01610,1,1,1,1,1,0
CATMA1a01620,1,0,0,0,1,0
CATMA1a01630,1,0,1,0,1,0
CATMA1a01650,1,0,0,0,0,0
CATMA1a01660,0,1,1,0,1,0
CATMA1a01670,0,0,0,0,0,1
CATMA1a01680,0,0,0,0,1,1
CATMA1a01700,1,0,0,0,1,0
CATMA1a01705,0,0,0,1,0,0
CATMA1a01710,0,0,0,1,1,0
CATMA1a01715,0,0,0,0,1,1
CATMA1a01720,1,0,0,0,0,1
CATMA1a01723,0,0,1,0,0,1
CATMA1a01730,1,0,0,0,0,0
CATMA1a01740,1,0,1,0,0,0
CATMA1a01750,1,0,0,0,1,1
CATMA1a01755,1,0,0,1,1,1
CATMA1a01760,0,0,1,0,0,1
CATMA1a01765,1,0,0,0,0,0
CATMA1a01770,0,0,0,0,0,1
CATMA1a01780,0,1,1,0,1,1
CATMA1a01790,0,0,0,0,1,1
CATMA1a01800,1,0,0,0,0,0
CATMA1a01825,0,0,0,0,1,0
CATMA1a01862,0,0,0,0,1,1
CATMA1a01866,0,0,1,0,0,0
CATMA1a01868,0,0,0,0,1,0
CATMA1a01870,0,0,1,0,0,0
CATMA1a01880,0,1,0,0,1,0
CATMA1a01910,0,1,0,1,1,1
CATMA1a01920,0,0,0,0,1,0
CATMA1a01930,0,0,1,0,0,0
CATMA1a01940,0,0,1,0,0,0
CATMA1a01960,0,0,0,0,0,1
CATMA1a01965,0,0,1,0,0,0
CATMA1a01970,1,0,1,0,0,0
CATMA1a01990,0,0,0,0,1,0
CATMA1a02040,1,0,1,1,1,0
CATMA1a02050,1,0,0,1,1,1
CATMA1a02110,0,0,1,0,1,0
CATMA1a02120,0,0,1,0,0,0
CATMA1a02130,1,0,0,0,1,0
CATMA1a02150,0,0,0,1,1,1
CATMA1a02170,0,0,0,1,1,0
CATMA1a02190,0,0,0,1,1,1
CATMA1a02210,0,0,0,1,1,0
CATMA1a02220,0,0,0,0,0,1
CATMA1a02230,1,0,1,1,1,0
CATMA1a02240,1,0,1,0,0,1
CATMA1a02260,1,0,1,0,0,0
CATMA1a02270,0,1,1,0,1,1
CATMA1a02280,1,0,0,0,1,0
CATMA1a02290,1,0,0,0,0,0
CATMA1a02295,1,1,1,1,0,0
CATMA1a02330,1,0,0,0,0,1
CATMA1a02350,1,0,0,1,1,1
CATMA1a02400,1,0,0,0,0,0
CATMA1a02410,1,0,0,0,0,0
CATMA1a02420,0,0,1,0,1,0
CATMA1a02440,0,1,0,0,1,1
CATMA1a02470,0,0,0,0,0,1
CATMA1a02490,1,1,0,1,1,1
CATMA1a02500,1,0,0,0,1,0
CATMA1a02520,1,0,1,1,1,1
CATMA1a02530,1,0,1,0,0,0
CATMA1a02535,0,1,0,0,1,0
CATMA1a02545,1,0,0,1,1,0
CATMA1a02550,1,0,0,0,1,1
CATMA1a02580,0,0,0,0,1,1
CATMA1a02590,1,0,0,0,1,0
CATMA1a02595,0,0,1,0,1,1
CATMA1a02600,0,0,0,0,1,1
CATMA1a02610,1,0,0,1,0,1
CATMA1a02620,1,0,0,1,0,1
CATMA1a02650,0,0,0,1,1,1
CATMA1a02680,0,0,0,1,0,0
CATMA1a02690,0,0,0,0,1,0
CATMA1a02710,1,1,1,1,1,0
CATMA1a02715,0,0,1,0,0,0
CATMA1a02720,1,1,1,1,1,1
CATMA1a02750,0,0,0,0,0,1
CATMA1a02770,1,0,1,0,0,0
CATMA1a02785,0,0,0,1,0,0
CATMA1a02790,0,0,1,0,1,0
CATMA1a02840,1,0,0,0,1,1
CATMA1a02870,0,0,0,1,0,0
CATMA1a02880,1,0,0,0,0,0
CATMA1a02900,1,0,0,0,1,1
CATMA1a02920,1,0,0,1,1,0
CATMA1a02940,1,0,1,0,1,0
CATMA1a02965,1,1,0,0,1,0
CATMA1a02980,1,0,0,0,0,0
CATMA1a02990,1,0,1,0,0,0
CATMA1a03040,1,0,0,1,0,1
CATMA1a03060,1,0,0,0,0,0
CATMA1a03070,0,0,0,0,1,1
CATMA1a03090,1,1,0,0,0,1
CATMA1a03102,0,0,0,1,0,0
CATMA1a03107,1,0,1,1,1,1
CATMA1a03110,1,0,1,0,1,0
CATMA1a03115,0,1,0,0,0,1
CATMA1a03120,1,0,0,0,0,1
CATMA1a03130,0,0,1,0,0,0
CATMA1a03140,1,0,0,0,0,1
CATMA1a03150,0,0,0,1,1,0
CATMA1a03160,1,0,0,0,1,0
CATMA1a03170,1,0,0,0,1,0
CATMA1a03180,0,1,1,0,1,1
CATMA1a03190,0,1,1,0,1,1
CATMA1a03200,1,0,0,0,0,0
CATMA1a03210,1,0,1,0,0,0
CATMA1a03220,0,1,0,0,1,1
CATMA1a03235,1,0,0,0,0,1
CATMA1a03240,0,0,1,0,0,0
CATMA1a03260,1,0,0,1,1,1
CATMA1a03270,0,1,0,0,1,0
CATMA1a03290,0,0,0,1,0,0
CATMA1a03330,0,0,0,1,0,0
CATMA1a03350,1,0,0,0,0,0
CATMA1a03360,1,0,0,0,1,1
CATMA1a03380,1,1,1,0,1,0
CATMA1a03395,1,0,0,1,0,0
CATMA1a03400,1,0,0,0,1,1
CATMA1a03420,0,0,1,0,0,0
CATMA1a03425,1,0,0,1,1,0
CATMA1a03430,1,0,1,0,0,0
CATMA1a03460,1,0,1,0,1,0
CATMA1a03480,1,0,1,0,0,0
CATMA1a03485,1,0,0,1,1,1
CATMA1a03490,0,0,1,0,0,0
CATMA1a03520,1,0,0,1,1,1
CATMA1a03525,1,1,1,0,1,0
CATMA1a03530,0,0,0,0,1,0
CATMA1a03540,1,0,1,0,0,0
CATMA1a03550,0,0,0,0,1,0
CATMA1a03570,1,1,0,1,1,1
CATMA1a03590,0,0,1,1,0,1
CATMA1a03610,1,0,0,1,1,1
CATMA1a03620,0,0,1,0,1,1
CATMA1a03630,0,0,1,1,0,0
CATMA1a03640,0,0,0,0,1,1
CATMA1a03650,0,0,1,0,0,0
CATMA1a03670,1,0,0,1,0,0
CATMA1a03690,0,0,0,0,1,0
CATMA1a03700,1,0,0,1,0,0
CATMA1a03730,1,0,1,0,0,0
CATMA1a03740,1,0,1,0,0,0
CATMA1a03750,1,0,0,0,0,0
CATMA1a03770,0,0,0,1,1,1
CATMA1a03785,1,0,1,0,0,0
CATMA1a03790,1,0,0,0,1,0
CATMA1a03800,1,0,0,0,1,1
