Treatment,Botrytis,Senescence,Root Cold,Root Drought,Shoot Cold,Shoot UV
AT1G01010,0,0,1,0,0,1
AT1G01040,0,0,0,0,1,0
AT1G01050,1,0,1,0,0,0
AT1G01060,1,1,1,0,1,1
AT1G01070,1,1,1,1,0,0
AT1G01080,1,1,1,0,1,1
AT1G01090,0,1,0,0,0,0
AT1G01100,0,0,1,0,0,1
AT1G01120,0,1,0,1,1,1
AT1G01140,1,0,1,0,1,0
AT1G01160,1,1,1,0,1,0
AT1G01170,1,1,0,0,1,0
AT1G01180,1,1,0,0,0,0
AT1G01190,0,1,0,0,0,0
AT1G01200,0,1,1,0,1,0
AT1G01220,0,1,0,0,1,0
AT1G01225,0,1,1,1,1,1
AT1G01230,0,1,1,1,1,1
AT1G01240,0,1,0,0,0,0
AT1G01250,1,0,0,0,0,1
AT1G01260,0,0,1,1,1,0
AT1G01290,1,0,1,0,1,0
AT1G01300,0,1,0,0,0,0
AT1G01310,0,1,0,0,0,0
AT1G01320,0,0,0,0,1,1
AT1G01340,1,0,0,0,0,1
AT1G01360,1,1,1,1,0,1
AT1G01370,0,1,0,1,0,0
AT1G01390,0,0,1,0,1,1
AT1G01410,0,0,1,0,0,1
AT1G01420,1,0,1,0,1,0
AT1G01430,1,1,0,0,1,1
AT1G01450,0,0,0,0,0,1
AT1G01460,0,1,1,0,0,0
AT1G01470,1,1,1,0,1,0
AT1G01480,1,1,1,0,0,0
AT1G01490,0,1,1,0,1,0
AT1G01500,0,0,1,0,1,0
AT1G01510,1,0,0,0,0,0
AT1G01520,1,0,1,0,0,0
AT1G01540,1,1,1,0,0,1
AT1G01550,0,1,1,0,1,1
AT1G01560,1,1,1,0,1,1
AT1G01600,0,1,0,0,1,0
AT1G01610,1,1,0,0,0,1
AT1G01620,1,1,0,0,1,1
AT1G01630,1,1,1,1,1,1
AT1G01640,0,1,1,0,0,0
AT1G01650,1,0,1,1,1,0
AT1G01670,1,0,0,0,0,0
AT1G01690,0,0,1,0,0,0
AT1G01710,0,0,1,1,1,0
AT1G01720,1,1,1,1,0,0
AT1G01725,1,1,0,0,0,0
AT1G01730,0,1,1,0,1,1
AT1G01740,1,0,1,0,0,1
AT1G01770,0,1,1,0,1,1
AT1G01780,1,1,0,0,1,1
AT1G01790,1,1,0,0,0,1
AT1G01800,1,1,1,0,1,0
AT1G01820,0,1,1,0,1,0
AT1G01830,0,1,0,0,0,0
AT1G01840,1,0,0,0,0,0
AT1G01900,0,1,1,0,0,0
AT1G01920,1,0,1,1,0,0
AT1G01930,1,1,1,1,0,0
AT1G01940,0,0,1,1,1,1
AT1G01960,1,0,0,0,0,0
AT1G01970,1,1,0,1,1,0
AT1G01990,1,0,1,0,0,0
AT1G02000,1,1,0,1,0,0
AT1G02020,0,0,1,0,0,0
AT1G02070,0,0,0,0,0,1
AT1G02080,0,1,0,0,0,0
AT1G02090,0,0,0,0,1,1
AT1G02100,0,1,0,0,1,0
AT1G02110,1,0,0,1,0,0
AT1G02120,1,1,0,0,1,1
AT1G02130,0,1,1,0,1,0
AT1G02140,1,1,0,1,0,1
AT1G02150,1,1,1,0,1,1
AT1G02160,1,0,1,0,1,0
AT1G02170,1,0,1,1,0,1
AT1G02180,1,1,1,0,0,0
AT1G02205,0,1,0,0,0,0
AT1G02220,1,1,1,0,0,1
AT1G02250,0,1,1,0,1,0
AT1G02260,0,0,1,0,1,0
AT1G02270,0,0,1,0,1,0
AT1G02280,1,1,0,0,0,0
AT1G02305,1,1,0,0,1,1
AT1G02310,1,1,1,1,1,0
AT1G02330,1,0,1,0,1,1
AT1G02340,0,1,1,0,1,0
AT1G02360,1,0,1,0,0,1
AT1G02370,1,0,0,0,1,1
AT1G02390,1,1,1,0,0,0
AT1G02400,1,1,1,0,1,1
AT1G02410,0,0,1,0,0,1
AT1G02420,0,0,0,0,1,0
AT1G02450,0,1,0,0,0,1
AT1G02460,1,1,0,0,0,1
AT1G02470,1,1,0,0,0,1
AT1G02475,1,0,1,0,1,0
AT1G02500,0,0,1,1,0,0
AT1G02530,0,0,1,0,0,0
AT1G02540,0,1,0,0,0,0
AT1G02550,1,0,1,0,0,0
AT1G02560,1,0,0,0,1,0
AT1G02570,1,0,0,0,0,0
AT1G02620,0,0,0,1,0,0
AT1G02640,0,1,0,0,1,0
AT1G02660,1,1,1,1,1,0
AT1G02670,1,1,0,0,0,0
AT1G02680,1,1,1,0,0,0
AT1G02690,1,0,1,1,0,0
AT1G02700,0,1,0,0,0,0
AT1G02720,0,1,0,0,1,0
AT1G02740,1,1,0,0,0,0
AT1G02750,0,1,0,0,0,1
AT1G02780,1,0,1,0,0,1
AT1G02810,1,0,0,0,0,0
AT1G02813,1,0,1,0,0,0
AT1G02816,1,1,0,1,1,0
AT1G02820,1,1,0,0,1,0
AT1G02830,0,0,0,0,1,1
AT1G02840,1,0,1,0,0,0
AT1G02850,0,1,1,0,1,0
AT1G02860,0,1,0,0,1,0
AT1G02870,1,0,0,0,1,1
AT1G02910,0,1,0,0,1,0
AT1G02950,0,1,0,0,0,0
AT1G02960,0,0,1,0,1,1
AT1G02970,0,1,0,0,0,1
AT1G02980,0,0,1,0,0,0
AT1G03000,0,1,1,0,1,1
AT1G03010,0,0,0,0,0,1
AT1G03020,0,1,0,0,0,0
AT1G03030,0,0,1,0,1,0
AT1G03040,0,1,0,0,0,0
AT1G03050,0,1,0,0,0,1
AT1G03055,0,0,0,0,1,0
AT1G03080,0,0,0,0,1,1
AT1G03090,1,0,0,0,0,0
AT1G03100,0,0,0,0,1,0
AT1G03110,0,1,0,0,0,1
AT1G03130,1,1,1,0,1,1
AT1G03150,1,1,0,1,0,1
AT1G03160,1,1,0,1,1,1
AT1G03180,0,0,1,0,0,0
AT1G03220,1,1,0,0,1,1
AT1G03250,0,1,1,0,1,0
AT1G03260,0,0,1,0,1,0
AT1G03270,1,1,1,0,1,0
AT1G03280,0,1,1,0,1,0
AT1G03290,0,0,0,0,1,1
AT1G03300,0,0,0,0,0,1
AT1G03310,0,1,1,0,1,1
AT1G03330,0,1,0,1,0,1
AT1G03350,1,1,0,0,1,0
AT1G03360,1,0,1,0,1,1
AT1G03370,1,0,0,0,1,1
AT1G03380,0,1,0,0,1,0
AT1G03390,1,1,0,0,0,1
AT1G03400,1,0,0,0,1,0
AT1G03410,1,0,0,0,1,1
AT1G03440,0,0,0,0,1,1
AT1G03457,1,0,1,0,1,1
AT1G03470,0,0,0,0,1,1
AT1G03475,1,1,0,0,1,1
AT1G03510,0,0,0,1,0,0
AT1G03520,1,0,0,0,0,0
AT1G03530,1,0,1,0,1,1
AT1G03550,0,1,1,0,1,0
AT1G03590,0,0,1,1,1,0
AT1G03600,1,1,0,0,0,0
AT1G03610,1,1,0,0,0,0
AT1G03630,1,1,1,0,1,0
AT1G03660,0,1,0,1,1,1
AT1G03687,1,1,1,0,0,0
AT1G03700,0,0,1,0,0,0
AT1G03720,0,1,0,0,0,0
AT1G03730,1,1,1,0,1,1
AT1G03740,0,1,1,0,1,0
AT1G03750,0,1,0,0,1,0
AT1G03760,1,0,1,0,0,1
AT1G03770,1,0,0,0,0,1
AT1G03790,0,1,0,0,0,0
AT1G03820,0,0,1,1,1,0
AT1G03830,0,1,0,0,1,0
AT1G03840,0,0,1,0,0,0
AT1G03850,1,1,0,1,0,1
AT1G03860,1,0,1,0,0,1
AT1G03870,1,1,1,0,1,1
AT1G03880,0,0,0,0,0,1
